                  epoch,         train/box_loss,         train/seg_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),   metrics/precision(M),      metrics/recall(M),       metrics/mAP50(M),    metrics/mAP50-95(M),           val/box_loss,           val/seg_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                   1.11,                 2.3021,                 1.9233,                 1.4878,                 0.6758,                0.65819,                0.68544,                0.38914,                0.65977,                0.64388,                0.65346,                0.35426,                 1.3552,                 2.4877,                 1.6182,                 1.7007,             0.00066482,             0.00066482,             0.00066482
                      2,                 1.2243,                 2.3439,                 1.2673,                  1.555,                0.66291,                0.55969,                0.58968,                0.33591,                0.51259,                0.36138,                0.35731,                0.13425,                 1.6177,                 4.2536,                 1.8274,                 1.9762,              0.0011997,              0.0011997,              0.0011997
                      3,                 1.1887,                 2.2997,                 1.1017,                 1.5225,                0.80799,                0.71646,                0.76927,                 0.4798,                0.77169,                0.68297,                 0.7116,                0.40621,                 1.3443,                 2.3617,                 1.2066,                 1.6695,              0.0016025,              0.0016025,              0.0016025
                      4,                 1.1083,                 2.2098,                 0.9841,                 1.4595,                0.83405,                0.78031,                0.83284,                 0.5551,                0.81901,                0.75669,                0.79334,                0.45822,                 1.1656,                 2.1609,                0.98404,                 1.5211,               0.001406,               0.001406,               0.001406
                      5,                 1.0173,                 2.0835,                0.88801,                 1.3873,                0.85207,                0.79387,                0.85677,                0.61809,                0.82656,                0.76712,                 0.8089,                0.47721,                 1.0373,                 2.1688,                0.90728,                 1.3995,               0.001208,               0.001208,               0.001208
                      6,                0.95054,                 1.9763,                0.81191,                 1.3456,                0.88032,                0.81565,                0.87034,                0.63327,                0.85078,                0.78848,                0.82851,                0.51701,                 1.0015,                 1.9634,                0.81739,                 1.3731,                0.00101,                0.00101,                0.00101
                      7,                0.88958,                 1.8923,                0.74552,                   1.29,                0.90563,                0.82007,                0.89762,                0.67191,                  0.894,                0.80325,                0.86649,                0.55536,                0.92276,                 1.8302,                0.74432,                 1.3045,               0.000812,               0.000812,               0.000812
                      8,                0.83968,                 1.8015,                 0.6914,                 1.2594,                0.89529,                  0.818,                0.89362,                0.67632,                0.87673,                0.80104,                0.86186,                0.55697,                0.89447,                 1.8108,                0.72453,                 1.2673,               0.000614,               0.000614,               0.000614
                      9,                0.79573,                 1.7399,                0.63679,                 1.2251,                0.90971,                0.85438,                0.91441,                0.71779,                0.89278,                0.83649,                0.88693,                0.59141,                0.82244,                 1.7153,                0.64866,                 1.2025,               0.000416,               0.000416,               0.000416
                     10,                0.74548,                 1.6667,                0.60582,                 1.1979,                0.91242,                0.87867,                0.92038,                0.73704,                0.90169,                 0.8675,                0.90047,                 0.6023,                0.77107,                 1.6533,                0.58804,                  1.178,               0.000218,               0.000218,               0.000218
